Site,Date,IndividualID,Size(mm),Parasitized,ParasiteType
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert1,70,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert2,66,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert3,51,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert4,65,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert5,60,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert6,54,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert7,69,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert8,57,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert9,64,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert10,68,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert11,59,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert12,59,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert13,46,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert14,54,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert15,54,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert16,71,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert17,51,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert18,57,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert19,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert20,60,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert21,43,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert22,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert23,39,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert24,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert25,49,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert26,54,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert27,55,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert28,45,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert29,46,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert30,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert31,41,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert32,47,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert33,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert34,42,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert35,32,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert36,37,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert37,38,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert38,47,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert39,39,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert40,41,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert41,45,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert42,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert43,43,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert44,50,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert45,45,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert46,38,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert47,60,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert48,50,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert49,42,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert50,39,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert51,50,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert52,45,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert53,45,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert54,48,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert55,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert56,42,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert57,29,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert58,42,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert59,15,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert60,35,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert61,30,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert62,68,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert63,74,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert64,46,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert65,52,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert66,54,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert67,59,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert68,42,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert69,50,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert70,45,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert71,47,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert72,45,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert73,40,Y,Female
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert74,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert75,43,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert76,35,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert77,41,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert78,45,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert79,34,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert80,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert81,48,Y,Both
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert82,43,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert83,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert84,39,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert85,33,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert86,32,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert87,30,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert88,32,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert89,34,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert90,55,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert91,44,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert92,28,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert93,40,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert94,39,N,None
,,,,,
Pruth Bay,2-Aug-18,UPBPCalvert95,34,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert96,56,Y,Both
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert97,47,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert98,62,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert99,40,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert100,57,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert101,16,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert102,33,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert103,36,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert104,39,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert105,53,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert106,58,Y,Female
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert107,65,Y,Female
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert108,47,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert109,34,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert110,54,Y,Female
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert111,45,Y,Female
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert112,71,Y,Both
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert113,65,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert114,52,N,None
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert115,41,Y,Female
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert116,72,Y,Both
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert117,38,Y,Female
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert118,39,Y,Both
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert119,53,Y,Female
,,,,,
Pruth Bay,29-Jul-18,UPBPCalvert120,50,N,None
